record_id,region_id,geography_scope,sector_scope,publisher,metric,scenario,component,value,unit,qualifier,as_of,period_start,period_end,source_vintage,source_url,source_locator,retrieved_on,use,notes
dom_202507_esa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,esa,9815,MW,reported,2025-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202507_cloa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,cloa,7098,MW,reported,2025-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202507_firm,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,firm,16913,MW,reported,2025-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202507_eloa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,eloa,30132,MW,reported,2025-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202507_total,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,total,47045,MW,reported,2025-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
aep_20260212_new_tariff,aep_ohio,AEP Ohio service territory; not all Ohio or the AEP company,data_centres,AEP Ohio,contract_capacity,,new_tariff,5642,MW,reported,2026-02-12,,,2026-02-13,https://www.aepohio.com/company/news/view?releaseID=10753,AEP Ohio Updates PUCO on Data Center Load; contracted totals paragraph,2026-09-13,context_only,Binding contracts as of 12 February 2026; projects ramp progressively through 2035. Total includes both tariff groups. Do not sum components with total or add to PJM.
aep_20260212_pre_tariff,aep_ohio,AEP Ohio service territory; not all Ohio or the AEP company,data_centres,AEP Ohio,contract_capacity,,pre_tariff,12219,MW,reported,2026-02-12,,,2026-02-13,https://www.aepohio.com/company/news/view?releaseID=10753,AEP Ohio Updates PUCO on Data Center Load; contracted totals paragraph,2026-09-13,context_only,Binding contracts as of 12 February 2026; projects ramp progressively through 2035. Total includes both tariff groups. Do not sum components with total or add to PJM.
aep_20260212_total,aep_ohio,AEP Ohio service territory; not all Ohio or the AEP company,data_centres,AEP Ohio,contract_capacity,,total,17861,MW,reported,2026-02-12,,,2026-02-13,https://www.aepohio.com/company/news/view?releaseID=10753,AEP Ohio Updates PUCO on Data Center Load; contracted totals paragraph,2026-09-13,context_only,Binding contracts as of 12 February 2026; projects ramp progressively through 2035. Total includes both tariff groups. Do not sum components with total or add to PJM.
ercot_lfl_2025,ercot,ERCOT system; not all Texas,large_flexible_loads,ERCOT,operational_capacity,,total,3700,MW,approximate,,,,2025-04-08,https://www.ercot.com/files/docs/2025/04/08/ERCOT-2025-Long-Term-Load-Forecast-Report.pdf,Large Flexible Forecast; PDF/printed p7,2026-09-13,context_only,Report says approximately this much LFL on the system; exact observation date and nameplate/instantaneous basis not supplied. Includes co-located and non-co-located flexible loads; not a cloud/AI DC total. Do not assume constant draw or apply the peak-response fractions to campuses.
pjm_dc_growth_2025_2030,pjm,PJM RTO footprint; overlaps Dominion and AEP Ohio,data_centres,PJM,forecast_demand_increment,,total,30,GW,up_to_approximate,,2025-01-01,2030-12-31,2026-01-08,https://insidelines.pjm.com/2025-year-in-review-planning-prepares-for-burgeoning-electricity-demand/,2025 Year in Review; opening section on late-2025 large-load evaluation,2026-09-13,context_only,"Late-2025 evaluation projected growth between 2025 and 2030 up to approximately 30 GW. Increment rather than 2030 total; article does not define an hourly averaging basis. Historical forecast vintage, not the full January 2026 forecast. Overlaps utility rows."
eirgrid_2024_dc_ntl,ireland,Ireland transmission and 110 kV distribution projects; excludes Northern Ireland and smaller embedded DCs,data_centres_and_new_technology,EirGrid and SONI,apparent_demand,historical,total,959,MVA,reported,2025-06-30,2024-01-01,2024-12-31,AIRAA 2026-2035,https://cms.eirgrid.ie/sites/default/files/publications/AIRAA-2026-2035_Ireland.pdf,Table 4.2 / Figure 4.1; printed p50 / PDF p52,2026-09-13,context_only,"Includes data centres and non-DC new technology loads. Historical apparent demand or forecast build-out; MVA is not MW. Data freeze 30 June 2025. Only connected/contracted projects; smaller DCs sit in industrial forecast. Scenarios are alternatives, never additive."
eirgrid_2035_dc_ntl_low,ireland,Ireland transmission and 110 kV distribution projects; excludes Northern Ireland and smaller embedded DCs,data_centres_and_new_technology,EirGrid and SONI,forecast_apparent_demand,low,total,1402,MVA,reported,2025-06-30,2035-01-01,2035-12-31,AIRAA 2026-2035,https://cms.eirgrid.ie/sites/default/files/publications/AIRAA-2026-2035_Ireland.pdf,Table 4.2; printed p50 / PDF p52,2026-09-13,context_only,"Includes data centres and non-DC new technology loads. Historical apparent demand or forecast build-out; MVA is not MW. Data freeze 30 June 2025. Only connected/contracted projects; smaller DCs sit in industrial forecast. Scenarios are alternatives, never additive."
eirgrid_2035_dc_ntl_median,ireland,Ireland transmission and 110 kV distribution projects; excludes Northern Ireland and smaller embedded DCs,data_centres_and_new_technology,EirGrid and SONI,forecast_apparent_demand,median,total,1870,MVA,reported,2025-06-30,2035-01-01,2035-12-31,AIRAA 2026-2035,https://cms.eirgrid.ie/sites/default/files/publications/AIRAA-2026-2035_Ireland.pdf,Table 4.2; printed p50 / PDF p52,2026-09-13,context_only,"Includes data centres and non-DC new technology loads. Historical apparent demand or forecast build-out; MVA is not MW. Data freeze 30 June 2025. Only connected/contracted projects; smaller DCs sit in industrial forecast. Scenarios are alternatives, never additive."
eirgrid_2035_dc_ntl_high,ireland,Ireland transmission and 110 kV distribution projects; excludes Northern Ireland and smaller embedded DCs,data_centres_and_new_technology,EirGrid and SONI,forecast_apparent_demand,high,total,2183,MVA,reported,2025-06-30,2035-01-01,2035-12-31,AIRAA 2026-2035,https://cms.eirgrid.ie/sites/default/files/publications/AIRAA-2026-2035_Ireland.pdf,Table 4.2; printed p50 / PDF p52,2026-09-13,context_only,"Includes data centres and non-DC new technology loads. Historical apparent demand or forecast build-out; MVA is not MW. Data freeze 30 June 2025. Only connected/contracted projects; smaller DCs sit in industrial forecast. Scenarios are alternatives, never additive."
cso_ie_dc_2015,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,1240,GWh,reported,,2015-01-01,2015-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2016,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,1482,GWh,reported,,2016-01-01,2016-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2017,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,1762,GWh,reported,,2017-01-01,2017-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2018,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,2182,GWh,reported,,2018-01-01,2018-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2019,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,2490,GWh,reported,,2019-01-01,2019-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2020,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,3030,GWh,reported,,2020-01-01,2020-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2021,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,4012,GWh,reported,,2021-01-01,2021-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2022,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,5273,GWh,reported,,2022-01-01,2022-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2023,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,6339,GWh,reported,,2023-01-01,2023-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2024,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,6973,GWh,reported,,2024-01-01,2024-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
cso_ie_dc_2025,ireland,Republic of Ireland; ESB Networks meters identified by CSO as data-centre activity,data_centres,Central Statistics Office Ireland,annual_electricity_energy,,total,7663,GWh,reported,,2025-01-01,2025-12-31,2026-07-07,https://www.cso.ie/en/releasesandpublications/ep/p-dcmec/datacentresmeteredelectricityconsumption2025/keyfindings/,Table 1; Data Centre column (2025 release vintage),2026-09-13,context_only,"National statistics for testing/context only, never site evidence. Grid-meter electricity, not IT electricity or behind-meter self-generation. Subject to identification revisions and whole-GWh rounding. Landing page and statistician date say 7 July 2026; key-findings header incorrectly says 2025."
ema_sg_all_2024,singapore,Singapore national electricity consumption,all_electricity,Energy Market Authority Singapore,annual_electricity_energy,,total,58,TWh,approximate,,2024-01-01,2024-12-31,SES 2025; updated 2025-10-24,https://www.ema.gov.sg/resources/singapore-energy-statistics/chapter3,Electricity Consumption; opening sentence / 2024 overall chart,2026-09-13,context_only,Rounded all-sector electricity consumption. EMA chapter has no DC-only total identified in this audit; Information and Communications sector is broader than data centres. Not a DC denominator.
imda_sg_capacity_2024,singapore,Singapore national DC capacity,data_centres,IMDA Singapore,operational_capacity,,total,1.4,GW,greater_than,,,,Green Data Centre Roadmap 2024,https://www.imda.gov.sg/-/media/imda/files/how-we-can-help/green-dc-roadmap/green-dc-roadmap.pdf,Executive Summary p4; Pioneering the Sustainable Growth of Data Centres p6,2026-09-13,context_only,Capacity exceeds 1.4 GW; not observed electricity demand. Precise observation day and facility-vs-IT capacity basis unspecified. Do not use as current-2026 load.
imda_sg_additional_target_2024,singapore,Singapore national additional DC capacity target,data_centres,IMDA Singapore,capacity_target_increment,,total,300,MW,at_least,,,,Green Data Centre Roadmap 2024,https://www.imda.gov.sg/-/media/imda/files/how-we-can-help/green-dc-roadmap/green-dc-roadmap.pdf,Executive Summary p4; roadmap p7,2026-09-13,context_only,"At least 300 MW additional near-term capacity is a policy target, not metered load or completed construction. Near-term is not assigned an invented end date. Additional green-energy growth is not quantified here."
