site_id,hub,verdict,confidence,reason,evidence,classifier_score,area_ha,rise_db,radar_structure_on,lat,lon,outline_check,osm_context,highres_check,reviewed_on,reviewer
cn_horinger_r26,horinger,unclear,low,"Pair of white rectangular buildings among blue-roofed factories in the Shengle industrial park, 6 km from the cloud valley; single-building scale.",results_cn/radar_review/cn_horinger_r26.png,0.90,5.0,11.6,2025-08,40.52992,111.73632,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r24,horinger,unclear,low,Two or three white-roofed buildings in a fenced plot at a village edge; no yards or generator rows.,results_cn/radar_review/cn_horinger_r24.png,0.90,5.6,11.0,2023-08,40.57178,111.84645,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): under construction,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r02,horinger,unclear,low,Four very large white-roofed boxes about 200 by 100 m in a row beside a village; big-box logistics or halls; nothing distinguishes them.,results_cn/radar_review/cn_horinger_r02.png;results_s1/horinger_cand02.png,0.90,38.4,11.6,2024-07,40.58436,111.84582,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): steel roofs under construction,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r19,horinger,not a data centre,high,Single factory building inside OSM's Xibei (西贝) food-industry landuse; a food plant.,results_cn/radar_review/cn_horinger_r19.png,0.89,7.6,11.1,2021-08,40.55435,111.83873,,西贝 (97 m); landuse=industrial (367 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): factory building confirmed,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r21,horinger,unclear,low,"Compound of small buildings and long narrow sheds beside the cloud valley; radar dates it 2020-02, before the scan window, so it may be older than the scan assumes.",results_cn/radar_review/cn_horinger_r21.png,0.89,7.0,8.8,2020-02,40.54106,111.79570,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): small buildings and sheds,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r20,horinger,unclear,low,Three dark-roofed blocks with strong shadows (multi-storey) on a construction area beside the China Telecom park.,results_cn/radar_review/cn_horinger_r20.png,0.87,7.5,8.5,2025-04,40.54106,111.83648,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r17,horinger,unclear,low,"Six white pitched-roof rectangular buildings in a 2 by 3 grid on a fenced site 4 km south of the cloud valley; workshop or warehouse-like, no rooftop plant seen.",results_cn/radar_review/cn_horinger_r17.png,0.85,10.4,14.1,2024-08,40.50171,111.82732,,,"Esri World Imagery viewed 2026-09-15 (capture date not shown): six buildings built, plain roofs",2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r06,horinger,data-hall complex,medium,"Grid of about ten similar rectangular blocks in two rows, 352 m from OSM's China Mobile Hohhot data centre and 0.5 km from the digitised cloud valley; regular layout like the digitised halls to the south, though the blocks are smaller.",results_cn/radar_review/cn_horinger_r06.png;results_s1/horinger_cand06.png,0.84,18.4,11.0,2024-06,40.54169,111.80944,Outline covers the grid and open ground to the west; acceptable as a low-confidence footprint.,克略和苑 (352 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): the grid built,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r23,horinger,unclear,low,Three or four dark-roofed rectangles with white edges in a 2 by 2 layout on a rural plot near the power plant; small.,results_cn/radar_review/cn_horinger_r23.png,0.84,6.3,11.9,2024-07,40.56388,111.85058,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): early construction,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r14,horinger,not a data centre,high,Irregular commercial complex with a curved building; OSM tags a Bank of Communications branch inside the outline; a mall or hotel block.,results_cn/radar_review/cn_horinger_r14.png,0.83,12.0,11.4,2024-07,40.54555,111.83684,,交通银行 (115 m); D2-2 (366 m); D1-2 (366 m); D2-1 (368 m); D3-1 (377 m); D1-1 (378 m); 雲谷佳苑 (381 m); D3-2 (383 m); building=industrial (390 m); building=industrial (399 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): mall-style building confirmed,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r18,horinger,unclear,low,Several white and light rectangular buildings 0.3 km from the digitised cloud valley polygon; layout not resolved.,results_cn/radar_review/cn_horinger_r18.png,0.79,8.0,8.5,2024-06,40.54555,111.80890,,克略和苑 (395 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): foundations only,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r05,horinger,unclear,low,"Four or five large rectangular buildings about 200 by 80 m beside the Shengle power plant; big-box, type unknown.",results_cn/radar_review/cn_horinger_r05.png;results_s1/horinger_cand05.png,0.77,20.6,13.3,2023-03,40.55507,111.85400,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): under construction,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r08,horinger,unclear,low,"Large connected light-roofed complex with factory-like wings, plus a second compound; radar date 2021-05 is at the start of the window.",results_cn/radar_review/cn_horinger_r08.png;results_s1/horinger_cand08.png,0.71,16.9,11.2,2021-05,40.50405,111.81465,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): factory-like complex,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r22,horinger,unclear,low,Two white blocks beside the China Telecom park; multi-storey frames when photographed.,results_cn/radar_review/cn_horinger_r22.png,0.70,6.4,12.8,2023-06,40.54115,111.83980,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): four frames under construction,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r11,horinger,unclear,low,Four or five rectangular blocks about 100 by 40 m on a cleared village plot beside the digitised cloud valley halls; dark roofs with white edges; halls or offices.,results_cn/radar_review/cn_horinger_r11.png;results_s1/horinger_cand11.png,0.62,13.9,11.2,2023-03,40.53872,111.80010,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): blocks built,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r12,horinger,unclear,low,Eight small identical blocks in two rows with courtyards beside the digitised campus; layout resembles dormitories or offices more than halls.,results_cn/radar_review/cn_horinger_r12.png;results_s1/horinger_cand12.png,0.59,12.5,12.6,2022-03,40.53333,111.79839,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): blocks built,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r25,horinger,not a data centre,high,"Building inside the Inner Mongolia Normal University Shengle campus (OSM bus stop 师大盛乐校区北门 300 m), among teaching blocks and sports fields.",results_cn/radar_review/cn_horinger_r25.png,0.54,5.1,10.5,2025-08,40.49354,111.77863,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): campus buildings,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_zhangbei_r03,zhangbei,not a data centre,medium,"One single-storey shed about 850 m long with rows of narrow sheds beside it; an agricultural or industrial shed complex, not halls.",results_cn/radar_review/cn_zhangbei_r03.png;results_s1/zhangbei_cand03.png,0.93,10.6,13.7,2023-04,41.18084,114.74846,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): long shed and shed rows,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_zhangbei_r05,zhangbei,not a data centre,high,Rows of photovoltaic panels beside the expressway service area (OSM 张北服务区).,results_cn/radar_review/cn_zhangbei_r05.png;results_s1/zhangbei_cand05.png,0.85,8.0,7.7,2023-10,41.21983,114.73238,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): solar array confirmed,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_zhangbei_r01,zhangbei,unclear,low,"Six or seven similar rectangular dark-roofed blocks in a walled compound of the industrial park, 2.6 km from Alibaba Zhangbei; no yards identified.",results_cn/radar_review/cn_zhangbei_r01.png;results_s1/zhangbei_cand01.png,0.85,17.4,11.7,2022-11,41.18246,114.70175,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): blocks built,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_zhangbei_r06,zhangbei,not a data centre,high,"Block of new mid-size buildings inside the county town, surrounded by apartment rows (OSM 新村).",results_cn/radar_review/cn_zhangbei_r06.png;results_s1/zhangbei_cand06.png,0.85,6.6,5.8,2025-03,41.16179,114.71917,,新村 (148 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): not checked,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_zhangbei_r07,zhangbei,not a data centre,high,Bright compound surrounded by new apartment blocks in the county town; school- or community-sized.,results_cn/radar_review/cn_zhangbei_r07.png;results_s1/zhangbei_cand07.png,0.77,5.0,6.5,2026-04,41.16323,114.72663,,新村 (274 m); 新村 (284 m); 新村 (297 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): not checked,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_zhangbei_r02,zhangbei,unclear,low,Three or four long white-roofed buildings and a pond in a walled industrial compound near the toll station; logistics-like.,results_cn/radar_review/cn_zhangbei_r02.png;results_s1/zhangbei_cand02.png,0.61,16.8,11.4,2024-09,41.18874,114.69384,,张北北收费站 (304 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): compound built,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_guian_r01,guian,unclear,low,"Grid of six white rectangular buildings (2 by 3) with blue-roofed structures on a graded terrace 4 km from the hub centroid; hall-like grid, no plant identified.",results_cn/radar_review/cn_guian_r01.png;results_s1/guian_cand01.png,0.51,22.4,7.8,2025-03,26.38181,106.45638,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_qingyang_r12,qingyang,unclear,low,Compound of several white mid-size buildings inside OSM's 中国能建庆阳大数据中心产业园 (China Energy Engineering Qingyang big-data industrial park) landuse; buildings mixed in size.,results_cn/radar_review/cn_qingyang_r12.png;results_s1/qingyang_cand12.png,0.66,5.1,9.1,2023-09,35.73669,107.69803,,中国能建庆阳大数据中心产业园 (63 m); 智慧蓝图西部智算中心 (384 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_qingyang_r03,qingyang,unclear,low,One large white building with two or three dark-roofed sheds on a rural plot 4 km from the hub; farmland setting.,results_cn/radar_review/cn_qingyang_r03.png;results_s1/qingyang_cand03.png,0.60,12.0,7.1,2024-07,35.69995,107.61242,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_qingyang_r07,qingyang,data-hall complex,low,"Grid of white and grey blocks under construction inside OSM's 中国电信庆阳智算产业园 (China Telecom Qingyang intelligent-computing park) landuse, with 中国移动(甘肃·庆阳)数据中心 and 中国联通庆阳数据中心 landuse adjacent; the park is named as a data-centre park, the buildings themselves are not resolved.",results_cn/radar_review/cn_qingyang_r07.png;results_s1/qingyang_cand07.png,0.53,8.6,7.7,2025-02,35.72519,107.69767,Outline covers part of the compound; the park extends beyond it to the north-west.,园区横三路 (38 m); 园区横三路 (46 m); 中国电信庆阳智算产业园 (279 m); 中国移动(甘肃·庆阳)数据中心 (284 m); 中国联通庆阳数据中心 (337 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_qingyang_r11,qingyang,unclear,low,Single large white and grey building under construction 244 m from OSM's 秦淮数据零碳数据中心产业基地 (Chindata zero-carbon data-centre base) landuse and near 智慧蓝图西部智算中心; one building only.,results_cn/radar_review/cn_qingyang_r11.png;results_s1/qingyang_cand11.png,0.51,6.0,8.1,2024-06,35.73274,107.70189,,园区纵二路 (155 m); 园区纵二路 (159 m); 秦淮数据零碳数据中心产业基地 (244 m); 智慧蓝图西部智算中心 (321 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
